FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Yin Shan Ming,Chairman of the Board,Lifan Industry (group) Co Ltd,Chongqing,Chongqing,400037,29,"Manufacture of motor vehicles, trailers and semi-trailers",1853105,3361203,8359
Yin Shengkui,Director,Jixi Suburban Agricultural Power Bureau,Jixi,Heilongjiang,158100,35,"Electricity, gas, steam and air conditioning supply",15337.3,3417.2,100
Yin Shuming,Director,"Zhenjiang Zhengdan Chemical Industry Co., Ltd.",Zhenjiang,Jiangsu,212132,20,Manufacture of chemicals and chemical products,90721.1,127569.5,641
Yin Shunhai,Director,"Beijing Tongrentang Co., Ltd.",Beijing,Beijing,100062,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1572158,2087965.1,14251
Yin Wei Suo,Director,Lifan Industry (group) Co Ltd,Chongqing,Chongqing,400037,29,"Manufacture of motor vehicles, trailers and semi-trailers",1853105,3361203,8359
Yin Weibo,Independent Director,Concord Medical Services Hldg Ltd (ADR),Beijing,Beijing,100013,86,Human health activities,98506,477263.9,601
Yin Weimin,Director,Lentuo International Inc (ADR),Beijing,Beijing,100124,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,532129.9,548215.1,1574
Yin Xiaobing,Independent Director,Yunnan Yuntou Ecology and Env Tech CoLtd,Kunming,Yunnan,650217,81,Services to buildings and landscape activities,118629.9,389594.6,582
Yin Xiaohua,Independent Director,"Henan Taloph Pharmaceutical Stock Co.,",Zhengzhou,Henan,450001,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,203579.9,369593.2,1643
Yin Xiaohua,Independent Director,Henan Huaying Agri Development Co. Ltd.,Xinyang,Henan,465150,10,Manufacture of food products,299162.5,689623.4,1960
Yin Xiaohua,Independent Director,Zhongyuan Environment-Protection Co Ltd,Zhengzhou,Henan,450046,37,Sewerage,93862.9,370265.6,752
